architecture,array_demand_ratio,site_facility_demand_ratio,scenario_id,physical_replacement_dr,physical_loss_2024_usd_per_kwdc,installed_capex_physical_loss_fraction
tracker,1.7,1.7,upper_resistance,0.4889026264595444,429.15662438000834,0.3831755574821503
tracker,1.75,1.75,central_screening,0.7483438371143362,656.8930041085518,0.5865116108112071
tracker,1.75,1.75,lower_resistance,0.899938421986661,789.962079210931,0.7053232850097598
tracker,1.75,1.75,upper_resistance,0.5235047731808267,459.5302400644723,0.4102948572004217
tracker,1.8,1.8,central_screening,0.7742139153297949,679.6016475858676,0.6067871853445246
tracker,1.8,1.8,lower_resistance,0.9133917429286595,801.7713465163231,0.7158672736752885
tracker,1.8,1.8,upper_resistance,0.5569456607474991,488.8845074536905,0.43650402451222364
tracker,1.85,1.85,central_screening,0.7977337187048604,700.2472299089151,0.6252207409901027
tracker,1.85,1.85,lower_resistance,0.9250426862517385,811.9984944937928,0.7249986557980292
tracker,1.85,1.85,upper_resistance,0.5890436346782936,517.0599710246909,0.46166068841490254
tracker,1.9,1.9,central_screening,0.8190304196026169,718.9413824314688,0.6419119485995257
tracker,1.9,1.9,lower_resistance,0.9351185304281621,820.8430272095334,0.732895560008512
tracker,1.9,1.9,upper_resistance,0.6196613623315301,543.9360807748125,0.48565721497751113
tracker,1.95,1.95,central_screening,0.8382471379874714,735.8097352432078,0.6569729778957213
tracker,1.95,1.95,lower_resistance,0.9438237362353412,828.4844194552577,0.7397182316564801
tracker,1.95,1.95,upper_resistance,0.6487026631222923,569.428409799965,0.5084182230356831
tracker,2.0,2.0,central_screening,0.8555356282361991,750.9854976838798,0.6705227657891784
tracker,2.0,2.0,lower_resistance,0.9513402330575608,835.0823680626247,0.745609257198772
tracker,2.0,2.0,upper_resistance,0.6761084248558854,593.4850696696883,0.5298973836336502
